,ASSET_NAME,ROE,P_L
168,TRPN3,122.35,0.44
119,MRFG3,78.08,0.76
183,ELPL3,76.01,1.25
17,BRAP3,75.82,1.7
18,BRAP4,75.82,1.88
130,PETR4,47.38,1.9
98,JBSS3,44.22,2.03
129,PETR3,47.38,2.14
80,GOAU3,28.16,2.58
412,BEEF11,133.61,2.65
71,FHER3,79.53,2.67
81,GOAU4,28.16,2.73
78,GGBR3,27.99,2.89
350,MOVI3,28.56,3.0
210,BAZA3,25.51,3.05
191,TASA3,55.91,3.11
72,TASA4,55.91,3.22
79,GGBR4,27.99,3.42
367,SUZB3,65.24,3.44
336,GPAR3,72.59,3.67
303,RANI4,32.67,3.81
170,UNIP3,66.05,4.2
30,CAMB4,39.48,4.22
175,VALE3,49.22,4.35
229,TIET11,51.45,4.38
70,FESA4,37.72,4.42
281,FESA3,37.72,4.52
208,KLBN11,40.56,4.53
292,KLBN3,40.56,4.53
103,KLBN4,40.56,4.53
171,UNIP6,66.05,4.54
209,NUTR3,29.44,4.65
314,SOND6,28.31,4.85
320,UNIP5,66.05,4.91
102,KEPL3,64.04,4.91
139,PTBL3,43.87,4.96
259,CEEB5,26.51,5.18
410,RSUL4,49.79,5.29
33,CCRO3,34.96,5.36
313,SOND5,28.31,5.4
228,ATOM3,42.73,5.49
302,RANI3,32.67,5.54
75,TIET3,51.45,6.09
76,TIET4,51.45,6.13
258,CEEB3,26.51,6.51
166,TAEE11,26.61,6.65
381,TAEE4,26.61,6.66
386,TAEE3,26.61,6.69
43,CPFE3,32.77,7.0
275,EKTR4,34.42,7.27
306,REDE3,36.48,7.42
267,CSRN3,41.35,7.46
106,LEVE3,34.78,7.62
154,SLCE3,27.88,7.96
14,BEEF3,133.61,8.33
263,CGAS3,175.4,9.07
37,CGAS5,175.4,9.15
86,PRIO3,36.6,9.87
204,SMLS3,37.96,10.78
198,BBSE3,79.57,11.7
157,EGIE3,31.55,11.99
279,ENMT3,35.45,14.76
406,ENMT4,35.45,14.91
125,ODPV3,36.85,17.51
180,WEGE3,27.6,38.3
